song_id,artist,title,num_bars,song_score
chunk1_row1,JAY-Z,Can I Live,64,0.232644
chunk1_row4,Lil Wayne,Fly In,54,0.276402
chunk1_row5,Lil Wayne,Lollipop Remix,86,0.329557
chunk1_row10,Lil Wayne,Money On My Mind,82,0.233065
chunk1_row12,JAY-Z,DEvils,79,0.291060
chunk1_row13,JAY-Z,December 4th,63,0.285420
chunk1_row14,Big L,98 Freestyle,95,0.248931
chunk1_row16,JAY-Z,Its Hot Some Like It Hot,74,0.337478
chunk1_row18,JAY-Z,Its Like That,96,0.218024
chunk1_row20,Lil Wayne,Mr. Carter,119,0.252989
chunk1_row22,Eminem,Encore / Curtains Down,110,0.273697
chunk1_row24,AZ,Love Is Love,80,0.259173
chunk1_row25,AZ,Sunshine,55,0.273052
chunk1_row26,AZ,Time,48,0.295125
chunk1_row27,AZ,Hey AZ,79,0.274628
chunk1_row30,Lil Wayne,Fly Out,49,0.188711
chunk1_row31,Lil Wayne,Im Blooded,84,0.368278
chunk1_row33,Ghostface Killah,Big Girl,64,0.207619
chunk1_row35,The Notorious B.I.G.,Warning,73,0.228383
chunk1_row36,AZ,Never Change,71,0.232415
chunk1_row41,Lil Wayne,Carter II,57,0.226781
chunk1_row42,Lil Wayne,Ride for My Niggas Sky is the Limit,94,0.324926
chunk1_row45,Canibus,Dr. C. Ph.D,71,0.258092
chunk1_row47,Lil Wayne,Fireman,85,0.241063
chunk1_row48,Lil Wayne,On My Own,93,0.269877
chunk1_row50,JAY-Z,Brooklyn Go Hard,60,0.251124
chunk1_row51,The Notorious B.I.G.,Juicy,112,0.274949
chunk1_row52,JAY-Z,D.O.A. Death of Auto-Tune,71,0.231793
chunk1_row53,The Notorious B.I.G.,Youre Nobody Til Somebody Kills You,75,0.328309
chunk1_row54,The Notorious B.I.G.,Me  My Bitch,83,0.328350
chunk1_row57,The Notorious B.I.G.,The What,75,0.247503
chunk1_row60,The Notorious B.I.G.,Ten Crack Commandments,55,0.283746
chunk1_row62,Jadakiss,Knock Yourself Out,74,0.301283
chunk1_row63,JAY-Z,Hate,64,0.256260
chunk1_row64,Jadakiss,We Gonna Make It,73,0.222120
chunk1_row66,JAY-Z,A Star Is Born,87,0.247252
chunk1_row67,Lil Wayne,A Milli,67,0.264142
chunk1_row69,JAY-Z,Can I Get A…,124,0.263269
chunk1_row70,JAY-Z,Already Home,114,0.306499
chunk1_row72,JAY-Z,Feelin It,77,0.239823
chunk1_row75,Eminem,My Name Is,80,0.291649
chunk1_row80,JAY-Z,What We Talkin About,74,0.303535
chunk1_row81,JAY-Z,Run This Town,87,0.215668
