song_id,artist,title,num_bars
chunk1_row1,JAY-Z,Can I Live,64
chunk1_row4,Lil Wayne,Fly In,54
chunk1_row5,Lil Wayne,Lollipop Remix,86
chunk1_row10,Lil Wayne,Money On My Mind,82
chunk1_row12,JAY-Z,DEvils,79
chunk1_row13,JAY-Z,December 4th,63
chunk1_row14,Big L,98 Freestyle,95
chunk1_row16,JAY-Z,Its Hot Some Like It Hot,74
chunk1_row18,JAY-Z,Its Like That,96
chunk1_row20,Lil Wayne,Mr. Carter,119
chunk1_row22,Eminem,Encore / Curtains Down,110
chunk1_row24,AZ,Love Is Love,80
chunk1_row25,AZ,Sunshine,55
chunk1_row26,AZ,Time,48
chunk1_row27,AZ,Hey AZ,79
chunk1_row30,Lil Wayne,Fly Out,49
chunk1_row31,Lil Wayne,Im Blooded,84
chunk1_row33,Ghostface Killah,Big Girl,64
chunk1_row35,The Notorious B.I.G.,Warning,73
chunk1_row36,AZ,Never Change,71
chunk1_row41,Lil Wayne,Carter II,57
chunk1_row42,Lil Wayne,Ride for My Niggas Sky is the Limit,94
chunk1_row45,Canibus,Dr. C. Ph.D,71
chunk1_row47,Lil Wayne,Fireman,85
chunk1_row48,Lil Wayne,On My Own,93
chunk1_row50,JAY-Z,Brooklyn Go Hard,60
chunk1_row51,The Notorious B.I.G.,Juicy,112
chunk1_row52,JAY-Z,D.O.A. Death of Auto-Tune,71
chunk1_row53,The Notorious B.I.G.,Youre Nobody Til Somebody Kills You,75
chunk1_row54,The Notorious B.I.G.,Me  My Bitch,83
chunk1_row57,The Notorious B.I.G.,The What,75
chunk1_row60,The Notorious B.I.G.,Ten Crack Commandments,55
chunk1_row62,Jadakiss,Knock Yourself Out,74
chunk1_row63,JAY-Z,Hate,64
chunk1_row64,Jadakiss,We Gonna Make It,73
chunk1_row66,JAY-Z,A Star Is Born,87
chunk1_row67,Lil Wayne,A Milli,67
chunk1_row69,JAY-Z,Can I Get A…,124
chunk1_row70,JAY-Z,Already Home,114
chunk1_row72,JAY-Z,Feelin It,77
chunk1_row75,Eminem,My Name Is,80
chunk1_row80,JAY-Z,What We Talkin About,74
chunk1_row81,JAY-Z,Run This Town,87
chunk1_row82,JAY-Z,Empire State of Mind,87
chunk1_row83,JAY-Z,Renegade,105
chunk1_row84,The Notorious B.I.G.,Mo Money Mo Problems,88
chunk1_row88,Lil Wayne,Mrs. Officer,95
chunk1_row90,Lil Wayne,Weezy Baby,76
chunk1_row93,Lil Wayne,3 Peat,56
chunk1_row96,The Notorious B.I.G.,One More Chance / Stay With Me Remix,80
chunk1_row97,JAY-Z,Money Cash Hoes,92
chunk1_row98,Nas,N.Y. State of Mind,87
chunk1_row100,JAY-Z,Allure,82
chunk1_row101,Jadakiss,Why?,86
chunk1_row104,Eminem,Yellow Brick Road,111
chunk1_row105,2Pac,To Live and Die in L.A.,99
chunk1_row106,Lil Wayne,I’m a Dboy,96
chunk1_row109,JAY-Z,Thank You,64
chunk1_row113,MF DOOM,Angelz,70
chunk1_row115,Nas,Halftime,84
chunk1_row116,Nas,The World Is Yours,89
chunk1_row129,JAY-Z,Ignorant Shit,83
chunk1_row130,JAY-Z,Real As It Gets,84
chunk1_row138,JAY-Z,The Watcher 2,136
chunk1_row140,JAY-Z,Success,62
chunk1_row141,"Drake, Kanye West, Lil Wayne & Eminem",Forever,121
chunk1_row142,Talib Kweli,Get By Remix,119
chunk1_row144,Eminem,Stan,128
chunk1_row145,Eminem,Kill You,110
chunk1_row148,Big Pun,Still Not a Player,72
chunk1_row154,Scarface,On My Block,59
chunk1_row157,The Notorious B.I.G.,Whats Beef?,97
chunk1_row158,JAY-Z,Heart of the City Aint No Love,69
chunk1_row160,Beanie Sigel,Average Cat,138
chunk1_row166,Lil Wayne,This Is the Carter,87
chunk1_row167,Lupe Fiasco,Hurt Me Soul,87
chunk1_row171,JAY-Z,Roc Boys And the Winner Is...,97
chunk1_row173,JAY-Z,Takeover,111
chunk1_row174,JAY-Z,The Rulers Back,73
chunk1_row175,The Notorious B.I.G.,Gimme the Loot,97
chunk1_row177,Lil Wayne,D.O.A.,80
chunk1_row178,JAY-Z,Brooklyns Finest,106
chunk1_row181,JAY-Z,Hard Knock Life Ghetto Anthem,76
chunk1_row182,JAY-Z & T.I.,Swagga Like Us,120
chunk1_row184,Lil Wayne,Dr. Carter,92
chunk1_row186,Big Pun,Boomerang,70
chunk1_row187,Lil Wayne,Georgia... Bush / Weezyz Ambitionz,134
chunk1_row188,JAY-Z,Venus vs. Mars,60
chunk1_row190,The Notorious B.I.G.,Big Poppa,77
chunk1_row193,Big L,Ebonics,67
chunk1_row194,JAY-Z,Dead Presidents II,81
chunk1_row197,Eminem,Role Model,68
chunk1_row198,JAY-Z,Where Im From,77
chunk1_row204,JAY-Z,What More Can I Say,98
chunk1_row206,Eminem,Lose Yourself,86
chunk1_row209,Lil Wayne,I Told Yall,101
chunk1_row212,Canibus,C Section,80
chunk1_row213,Lil Wayne,The Rapper Eater,48
chunk1_row216,2Pac,Changes,92
chunk1_row217,The Notorious B.I.G.,Party and Bullshit,70
chunk1_row218,Lil Wayne,Ice Cream,65
chunk1_row220,Canibus,Drama A/T,102
chunk1_row223,Lil Wayne,Wayne on Me,44
chunk1_row225,Aesop Rock,Labor,37
chunk1_row226,The Notorious B.I.G.,Notorious Thugs,186
chunk1_row228,2Pac,Hail Mary,116
chunk1_row230,Nas,Ether,104
chunk1_row234,The Notorious B.I.G.,One More Chance,93
chunk1_row238,Nas,Lifes a Bitch,64
chunk1_row244,Lil Wayne,No Ceilings Pop That,70
chunk1_row246,JAY-Z,Hello Brooklyn 2.0,85
chunk1_row252,2Pac,California Love,82
chunk1_row258,Lil Wayne,Go DJ,97
chunk1_row259,2Pac,I Get Around,81
chunk1_row260,Lil Wayne,Run This Town,54
chunk1_row261,JAY-Z,Moment of Clarity,96
chunk1_row262,The Notorious B.I.G.,The World Is Filled...,86
chunk1_row265,Lil Wayne,You Ain’t Got Nuthin,110
chunk1_row266,The Notorious B.I.G.,Dead Wrong,119
chunk1_row267,Common,I Used to Love H.E.R.,97
chunk1_row277,JAY-Z,Hey Papi,56
chunk1_row280,The Notorious B.I.G.,Kick in the Door,116
chunk1_row281,Lil Wayne,Ain’t Got Time The W. Carter Collection,56
chunk1_row282,JAY-Z,Izzo H.O.V.A.,79
chunk1_row283,JAY-Z,A Week Ago,115
chunk1_row284,JAY-Z,Cant Knock the Hustle,93
chunk1_row285,JAY-Z,Politics as Usual,49
chunk1_row286,JAY-Z,22 Twos,57
chunk1_row287,JAY-Z,Aint No Nigga,97
chunk1_row288,JAY-Z,Friend or Foe,33
chunk1_row289,JAY-Z,Coming of Age,75
chunk1_row290,JAY-Z,Cashmere Thoughts,61
chunk1_row291,JAY-Z,Bring It On,110
chunk1_row292,JAY-Z,Regrets,89
chunk1_row293,JAY-Z,Can I Live II,75
chunk1_row294,JAY-Z,Cant Knock the Hustle Remix,63
chunk1_row296,Eminem,Marshall Mathers,114
chunk1_row297,Scarface,Guess Whos Back,84
chunk1_row298,Ghostface Killah,The Champ,54
chunk1_row302,2Pac,Letter 2 My Unborn,85
chunk1_row304,Jadakiss,Welcome to D-Block,87
chunk1_row307,2Pac,Bomb First My Second Reply,96
chunk1_row308,Jadakiss,Death Wish,59
chunk1_row311,The Notorious B.I.G.,I Love the Dough,95
chunk1_row312,Canibus,Second Round K.O.,101
chunk1_row313,Ghostface Killah,Shakey Dog,71
chunk1_row317,The Notorious B.I.G.,Niggas Bleed,106
chunk1_row319,Big Pun,Twinz Deep Cover 98,93
chunk1_row325,2Pac,Got My Mind Made Up,117
chunk1_row328,Method Man & Redman,How High,111
chunk1_row332,2Pac,Hit Em Up,136
