word,group,confidence,method,source_count
me,0,0.75,cluster_phonetic,2946
me,0,0.75,cluster_phonetic,2946
me,0,0.75,cluster_phonetic,2946
me,0,0.75,cluster_phonetic,2946
yeah,1,0.75,cluster_phonetic,1899
yeah,1,0.75,cluster_phonetic,1899
yeah,1,0.75,cluster_phonetic,1899
yeah,1,0.75,cluster_phonetic,1899
yeah,1,0.75,cluster_phonetic,1899
you,2,0.75,cluster_phonetic,1802
you,2,0.75,cluster_phonetic,1802
you,2,0.75,cluster_phonetic,1802
you,2,0.75,cluster_phonetic,4
up,3,0.75,cluster_phonetic,1333
up,3,0.75,cluster_phonetic,1333
up,3,0.75,cluster_phonetic,1333
up,3,0.75,cluster_phonetic,1333
it,4,0.75,cluster_phonetic,1205
it,4,0.75,cluster_phonetic,1205
it,4,0.75,cluster_phonetic,1205
it,4,0.75,cluster_phonetic,1205
bewitch,5,0.75,cluster_phonetic,4
bewitch,5,0.75,cluster_phonetic,4
bitch,5,0.75,cluster_phonetic,759
bitch,5,0.75,cluster_phonetic,759
bitch,5,0.75,cluster_phonetic,759
bitch,5,0.75,cluster_phonetic,759
bitch,5,0.75,cluster_phonetic,4
ditch,5,0.75,cluster_phonetic,7
ditch,5,0.75,cluster_phonetic,7
ditch,5,0.75,cluster_phonetic,7
ditch,5,0.75,cluster_phonetic,7
ditch,5,0.75,cluster_phonetic,4
fitch,5,0.75,cluster_phonetic,4
hitch,5,0.75,cluster_phonetic,4
itch,5,0.75,cluster_phonetic,8
itch,5,0.75,cluster_phonetic,8
itch,5,0.75,cluster_phonetic,8
itch,5,0.75,cluster_phonetic,8
itch,5,0.75,cluster_phonetic,4
pitch,5,0.75,cluster_phonetic,11
pitch,5,0.75,cluster_phonetic,11
pitch,5,0.75,cluster_phonetic,11
pitch,5,0.75,cluster_phonetic,11
pitch,5,0.75,cluster_phonetic,4
snitch,5,0.75,cluster_phonetic,10
snitch,5,0.75,cluster_phonetic,10
snitch,5,0.75,cluster_phonetic,10
snitch,5,0.75,cluster_phonetic,10
snitch,5,0.75,cluster_phonetic,10
stitch,5,0.75,cluster_phonetic,4
switch,5,0.75,cluster_phonetic,12
switch,5,0.75,cluster_phonetic,12
switch,5,0.75,cluster_phonetic,12
switch,5,0.75,cluster_phonetic,12
switch,5,0.75,cluster_phonetic,4
twitch,5,0.75,cluster_phonetic,4
witch,5,0.75,cluster_phonetic,4
baby,6,0.75,cluster_phonetic,651
baby,6,0.75,cluster_phonetic,651
baby,6,0.75,cluster_phonetic,651
baby,6,0.75,cluster_phonetic,651
baby,6,0.75,cluster_phonetic,651
bigga,7,0.75,cluster_phonetic,5
bigga,7,0.75,cluster_phonetic,5
bigga,7,0.75,cluster_phonetic,5
bigga,7,0.75,cluster_phonetic,5
bigga,7,0.75,cluster_phonetic,5
nigga,7,0.75,cluster_phonetic,585
nigga,7,0.75,cluster_phonetic,585
nigga,7,0.75,cluster_phonetic,585
nigga,7,0.75,cluster_phonetic,585
