word,group
veranda,0
neuralgia,0
ambrosia,0
panacea,0
anathema,0
panorama,0
camelia,0
parabola,0
cyclopedia,0
paraphernalia,0
dyspepsia,0
paranomasia,0
effluvia,0
phenomena,0
euthanasia,0
regalia,0
extravaganza,0
sciatica,0
fantasia,0
taffeta,0
hysteria,0
terracotta,0
inertia,0
walhalla,0
influenza,0
blab,1
drab,1
cab,1
gab,1
crab,1
knabf,1
dab,1
scab,1
asthma,2
aurora,2
comma,2
chimera,2
dogma,2
cupola,2
drama,2
dahlia,2
era,2
dilemma,2
gala,2
duenna,2
hydra,2
flotilla,2
polka,2
formula,2
sofa,2
fuchsia,2
stanza,2
gondola,2
stigma,2
gorilla,2
strata,2
iota,2
villa,2
madonna,2
vista,2
nebula,2
agenda,2
orchestra,2
algebra,2
regatta,2
area,2
sepia,2
arcana,2
siesta,2
armada,2
sonata,2
aroma,2
umbrella,2
slab,3
habnab,3
stab,3
babe,3
tab,3
back,4
rack,4
black,4
sac,4
brach,4
sack,4
brack,4
slack,4
clack,4
smack,4
crack,4
snack,4
hack,4
stack,4
knack,4
tack,4
lac,4
thwack,4
lack,4
track,4
pack,4
whack,4
plaque,4
wrack,4
quack,4
arrack,4
attack,4
symposiar,4
lilac,4
aphrodisiac,4
nick-nack,4
dypsomaniac,4
almanac,4
hypocondriac,4
cardiac,4
salammoniac,4
celiac,4
opaque,4
iliac,4
break,4
maniac,4
take,4
zodiac,4
neck,4
demoniac,4
speak,4
elegiac,4
ace,5
chase,5
base,5
dace,5
brace,5
face,5
case,5
grace,5
lace,5
mace,5
pace,5
place,5
plaice,5
race,5
space,5
trace,5
abase,5
aggrace,5
apace,5
birthplace,5
debase,5
deface,5
disgrace,5
displace,5
efface,5
embrace,5
grimace,5
horserace,5
misplace,5
necklace,5
outface,5
outpace,5
replace,5
retrace,5
solace,5
surface,5
terrace,5
unlace,5
interlace,5
populace,5
grass,6
cease,6
less,6
daze,6
scarce,6
batch,6
snatch,6
catch,6
swatch,6
hatch,6
thatch,6
latch,6
attach,6
match,6
despatch,6
patch,6
detach,6
ratch,6
watch,6
scratch,6
wretch,6
smatch,6
botch,6
act,6
fact,6
fract,6
pact,6
tact,6
tract,6
attract,6
co-act,6
compact,6
contact,6
contract,6
detract,6
abstract,6
distract,6
enact,6
epact,6
exact,6
extract,6
impact,6
infract,6
protract,6
react,6
refract,6
retract,6
diffract,6
subact,6
subtract,6
transact,6
cataphract,6
cataract,6
counteract,6
incompact,6
precontract,6
re-enact,6
baked,7
raked,7
plaid,7
quod,7
rad,7
sad,7
shad,7
wad,7
dryad,7
footpad,7
salad,7
fade,7
red,7
sod,7
aid,7
bade,7
blade,7
braid,7
cade,7
dadef,7
fade,7
glade,7
grade,7
hade,7
jade,7
lade,7
made,7
maid,7
raid,7
shade,7
slade,7
spade,7
trade,7
vade,7
abraid,7
afraid,7
arcade,7
blockade,7
brigade,7
brocade,7
cascade,7
chamade,7
cockade,7
crusade,7
decade,7
degrade,7
dissuade,7
evade,7
facade,7
gambade,7
grenade,7
invade,7
milkmaid,7
parade,7
persuade,7
pervade,7
relaid,7
tirade,7
unlade,7
upbraid,7
accolade,7
ambuscade,7
barricade,7
bastinade,7
cannonade,7
cavalcade,7
centigrade,7
colonnade,7
esplanade,7
fusilade,7
gasconade,7
lemonade,7
marmalade,7
masquerade,7
overlade,7
palisade,7
pasquinade,7
renegade,7
retrograde,7
serenade,7
bad,8
bead,8
head,8
preyed,8
fadge,8
chafe,9
naif,9
safe,9
waif,9
unsafe,9
chaff,9
draff,9
gaff,9
grafft,9
laugh,9
naff,9
quaff,9
staff,9
carafe,9
distaff,9
giraffe,9
vouchsafe,9
leaf,9
deaf,9
laugh,9
riff-raff,9
tipstaff,9
cenotaph,9
epitaph,9
paragraph,9
quarter-staff,9
calf,9
half,9
aft,9
raft,9
craft,9
shaft,9
daft,9
waft,9
draft,9
abaft,9
draught,9
ingraft,9
graft,9
handicraft,9
haft,9
age,10
cage,10
gage,10
gauge,10
page,10
rage,10
sage,10
stage,10
suage,10
swage,10
wage,10
adage,10
assuage,10
baggage,10
quag,10
rag,10
sag,10
scrag,10
shag,10
slag,10
snag,10
stag,10
swag,10
tag,10
wag,10
tag-rag,10
zig-zag,10
boskage,11
cabbage,11
corsage,11
cortege,11
courage,11
cribbage,11
dotage,11
engage,11
enrage,11
hostage,11
marriage,11
manage,11
menage,11
message,11
mirage,11
foliage,11
mortgage,11
heritage,11
passage,11
hermitage,11
peerage,11
parentage,11
potage,11
parsonage,11
presage,11
pasturage,11
salvage,11
patronage,11
sausage,11
percentage,11
scutage,11
personage,11
village,11
pilgrimage,11
wreckage,11
villanage,11
appanage,11
concubinage,11
appendage,11
edge,11
disengage,11
siege,11
equipage,11
ale,12
pail,12
bail,12
pale,12
bale,12
quail,12
brail,12
rail,12
dale,12
sail,12
fail,12
sale,12
flail,12
scale,12
frail,12
shale,12
gale,12
snail,12
grail,12
stale,12
hail,12
swale,12
hale,12
tail,12
jail,12
tale,12
mail,12
trail,12
male,12
vale,12
nail,12
veil,12
wail,12
impale,12
wale,12
prevail,12
whale,12
regale,12
assail,12
retail,12
avail,12
wassail,12
blackmail,12
wholesale,12
bewail,12
aventail,12
curtail,12
countervail,12
detail,12
farthingale,12
entail,12
nightingale,12
exhale,12
female,12
aim,13
acclaim,13
blame,13
became,13
came,13
declaim,13
claim,13
defame,13
dame,13
disclaim,13
fame,13
exclaim,13
flame,13
inflame,13
frame,13
misname,13
game,13
nickname,13
lame,13
proclaim,13
maim,13
reclaim,13
name,13
surname,13
frame,13
overcame,13
same,13
shame,14
tame,14
bane,15
brain,15
blain,15
cane,15
chain,15
crane,15
deign,15
drain,15
fain,15
fane,15
feign,15
gain,15
grain,15
lain,15
lane,15
main,15
mane,15
pain,15
pane,15
plain,15
plane,15
rain,15
reign,15
rein,15
sane,15
skein,15
slain,15
sprain,15
stain,15
strain,15
swain,15
thane,15
train,15
twain,15
vain,15
vane,15
vein,15
wain,15
wane,15
abstain,15
faint,15
feint,15
amain,15
arraign,15
attain,15
campaign,15
champagne,15
complain,15
constrain,15
contain,15
curtain,15
detain,15
disdain,15
distrain,15
domain,15
enchain,15
explain,15
henbane,15
maintain,15
murrain,15
obtain,15
ordain,15
pertain,15
profane,15
refrain,15
regain,15
remain,15
restrain,15
retain,15
sustain,15
appertain,15
entertain,15
hurricane,15
mean,16
scene,16
maynet,17
plaint,17
quaint,17
constraint,17
saint,17
distraint,17
taint,17
restraint,17
acquaint,17
rant,17
attaint,17
rent,17
complaint,17
air,18
bare,18
bear,18
care,18
chair,18
dare,18
eeer,18
ere,18
fair,18
fare,18
flare,18
gare,18
glair,18
glare,18
hair,18
hare,18
heir,18
lair,18
mare,18
neer,18
pair,18
pare,18
pear,18
scare,18
share,18
snare,18
spare,18
square,18
stair,18
stare,18
swear,18
tare,18
there,18
ware,18
wear,18
where,18
yare,18
affair,18
armchair,18
aware,18
beware,18
coheir,18
compare,18
declare,18
despair,18
elsewhere,18
ensnare,18
forbear,18
forswear,18
however,18
impair,18
prepare,18
repair,18
whatever,18
whenever,18
wherever,18
debonnair,18
howsoever,18
millionaire,18
her,19
were,19
theirs,20
unawares,20
gaze,21
cross-ways,21
glaze,21
paraphrase,21
graze,21
ease,21
maze,21
seize,21
phrase,21
keys,21
praise,21
bait,22
slate,22
bate,22
straight,22
date,22
strait,22
eight,22
wait,22
fate,22
abate,22
gait,22
await,22
gate,22
belate,22
grate,22
collate,22
great,22
create,22
hate,22
cremate,22
late,22
debate,22
mate,22
dilate,22
pate,22
elate,22
plate,22
estate,22
prate,22
frustrate,22
rate,22
ingrate,22
sate,22
innate,22
irate,22
migrate,22
narrate,22
prostrate,22
rebate,22
relate,22
sedate,22
translate,22
abdicate,22
abrogate,22
accurate,22
adequate,22
advocate,22
aggravate,22
agitate,22
alienate,22
animate,22
annotate,22
antedate,22
apostate,22
arbitrate,22
arrogate,22
aspirate,22
cachinate,22
calculate,22
candidate,22
captivate,22
castigate,22
celebrate,22
celibate,22
circulate,22
congregate,22
consecrate,22
contemplate,22
cultivate,22
dedicate,22
delegate,22
delicate,22
deprecate,22
derogate,22
desolate,22
desperate,22
dislocate,22
dissipate,22
educate,22
elevate,22
emigrate,22
emulate,22
estimate,22
extricate,22
formulate,22
fornicate,22
fortunate,22
generate,22
hesitate,22
hibernate,22
imitate,22
immolate,22
impetrate,22
imprecate,22
innovate,22
instigate,22
intimate,22
intricate,22
irritate,22
inundate,22
magistrate,22
meditate,22
micturate,22
mitigate,22
moderate,22
nominate,22
obstinate,22
oscillate,22
passionate,22
penetrate,22
perforate,22
perpetrate,22
personate,22
potentate,22
predicate,22
profligate,22
propagate,22
regulate,22
reprobate,22
ruminate,22
rusticate,22
separate,22
stipulate,22
subjugate,22
suffocate,22
syndicate,22
terminate,22
titivate,22
tolerate,22
triturate,22
vindicate,22
violate,22
abominate,22
accelerate,22
accentuate,22
confederate,22
congratulate,22
considerate,22
contaminate,22
co-operate,22
corroborate,22
debilitate,22
degenerate,22
deliberate,22
denominate,22
depopulate,22
disconsolate,22
discriminate,22
effeminate,22
elaborate,22
emancipate,22
emasculate,22
equivocate,22
eradicate,22
evaporate,22
exaggerate,22
exasperate,22
accommodate,22
expectorate,22
accumulate,22
expostulate,22
adulterate,22
affectionate,22
annihilate,22
anticipate,22
articulate,22
assassinate,22
capacitate,22
capitulate,22
chalybeate,22
coagulate,22
commemorate,22
communicate,22
exterminate,22
facilitate,22
illiterate,22
illuminate,22
immoderate,22
importunate,22
inanimate,22
initiate,22
insatiate,22
intemperate,22
intimidate,22
intoxicate,22
invalidate,22
compassionate,22
investigate,22
inveterate,22
inviolate,22
legitimate,22
matriculate,22
necessitate,22
participate,22
precipitate,22
predestinate,22
predominate,22
premeditate,22
prevaricate,22
procrastinate,22
prognosticate,22
recriminate,22
regenerate,22
reiterate,22
reverberate,22
subordinate,22
unfortunate,22
weight,23
height,23
heat,23
ache,24
bake,24
brake,24
break,24
cake,24
drake,24
fake,24
flake,24
hake,24
lake,24
make,24
quake,24
rake,24
sake,24
shake,24
snake,24
spake,24
stake,24
steak,24
take,24
wake,24
awake,24
bespake,24
betake,24
corn-crake,24
forsake,24
keepsake,24
mandrake,24
mistake,24
namesake,24
partake,24
overtake,24
snowflake,24
undertake,24
rack,25
neck,25
weak,25
check,25
principal,26
prodigal,26
rational,26
seneschal,26
several,26
sepulchral,26
temporal,26
terminal,26
tragical,26
whimsical,26
colloquial,26
dogmatical,26
equinoctial,26
equivocal,26
hymeneal,26
imperial,26
intellectual,26
original,26
poetical,26
political,26
problematical,26
prophetical,26
reciprocal,26
rhetorical,26
satirical,26
sempiternal,26
tyrannical,26
all,26
mall,26
shall,26
cabal,26
canal,26
cymbal,26
dismal,26
dual,26
equal,26
feudal,26
final,26
formal,26
legal,26
